# ecutwfc_Ry  alat_A  ecutrho_Ry  total_energy_Ry  total_energy_per_fu_Ry_fu  converged  iterations  wall_time
60          11.97   600         -827.74487807    -206.9362195175            yes        12          1m50.14s
60          11.96   600         -827.7451292     -206.9362823000            yes        12          1m52.57s
60          11.94   600         -827.74561838    -206.9364045950            yes        12          1m51.12s
60          11.93   600         -827.74585585    -206.9364639625            yes        12          1m53.18s
60          11.92   600         -827.7460888     -206.9365222000            yes        12          1m50.89s
60          11.91   600         -827.74631661    -206.9365791525            yes        12          1m50.50s
60          11.89   600         -827.74675706    -206.9366892650            yes        12          1m49.32s
60          11.88   600         -827.74696951    -206.9367423775            yes        12          1m53.75s
60          11.87   600         -827.74717622    -206.9367940550            yes        12          1m53.52s
60          11.86   600         -827.74737779    -206.9368444475            yes        12          1m52.43s
60          11.84   600         -827.74776442    -206.9369411050            yes        12          1m52.70s
60          11.83   600         -827.74794939    -206.9369873475            yes        12          1m52.81s
60          11.82   600         -827.74812804    -206.9370320100            yes        12          1m51.22s
60          11.81   600         -827.74830125    -206.9370753125            yes        12          1m48.90s
60          11.79   600         -827.74862954    -206.9371573850            yes        12          1m54.71s
60          11.78   600         -827.7487844     -206.9371961000            yes        12          1m54.09s
60          11.77   600         -827.74893315    -206.9372332875            yes        12          1m52.56s
60          11.76   600         -827.74907545    -206.9372688625            yes        12          1m52.25s
60          11.74   600         -827.74934065    -206.9373351625            yes        12          1m49.78s
60          11.73   600         -827.74946343    -206.9373658575            yes        12          1m57.28s
60          11.72   600         -827.74957956    -206.9373948900            yes        12          1m53.99s
60          11.71   600         -827.7496891     -206.9374222750            yes        12          1m54.25s
60          11.69   600         -827.74988688    -206.9374717200            yes        12          1m55.14s
60          11.68   600         -827.74997521    -206.9374938025            yes        12          1m56.25s
60          11.67   600         -827.75005642    -206.9375141050            yes        12          1m54.22s
60          11.66   600         -827.75013057    -206.9375326425            yes        12          1m51.57s
60          11.64   600         -827.7502569     -206.9375642250            yes        12          1m50.80s
60          11.63   600         -827.75030861    -206.9375771525            yes        12          1m56.59s
60          11.62   600         -827.75035292    -206.9375882300            yes        12          1m52.83s
60          11.61   600         -827.75038968    -206.9375974200            yes        12          1m56.49s
60          11.59   600         -827.75043961    -206.9376099025            yes        12          1m53.13s
60          11.58   600         -827.75045269    -206.9376131725            yes        12          1m51.84s
60          11.57   600         -827.75045737    -206.9376143425            yes        12          1m49.75s
60          11.56   600         -827.75045442    -206.9376136050            yes        12          1m50.63s
60          11.54   600         -827.75042334    -206.9376058350            yes        12          1m48.64s
60          11.53   600         -827.75039553    -206.9375988825            yes        12          1m44.35s
60          11.52   600         -827.7503592     -206.9375898000            yes        12          1m37.80s
60          11.51   600         -827.75031446    -206.9375786150            yes        12          1m38.88s
60          11.49   600         -827.7501987     -206.9375496750            yes        11          1m30.08s
60          11.48   600         -827.75012787    -206.9375319675            yes        11          1m30.19s
60          11.47   600         -827.75004838    -206.9375120950            yes        11          1m30.25s
60          11.46   600         -827.74995963    -206.9374899075            yes        11          1m31.05s
60          11.44   600         -827.74975449    -206.9374386225            yes        11          1m31.26s
60          11.43   600         -827.74963791    -206.9374094775            yes        11          1m31.31s
60          11.42   600         -827.74951192    -206.9373779800            yes        11          1m30.51s
60          11.41   600         -827.74937678    -206.9373441950            yes        11          1m32.39s
60          11.39   600         -827.74907826    -206.9372695650            yes        11          1m33.14s
60          11.38   600         -827.7489142     -206.9372285500            yes        11          1m32.31s
60          11.37   600         -827.74874032    -206.9371850800            yes        10          1m27.94s
60          11.36   600         -827.74855683    -206.9371392075            yes        10          1m28.32s
60          11.34   600         -827.74815946    -206.9370398650            yes        10          1m27.78s
60          11.33   600         -827.74794554    -206.9369863850            yes        10          1m26.73s
60          11.32   600         -827.74772163    -206.9369304075            yes        10          1m26.11s
60          11.31   600         -827.74748715    -206.9368717875            yes        10          1m26.86s
60          11.29   600         -827.74698701    -206.9367467525            yes        10          1m25.87s
60          11.28   600         -827.74672074    -206.9366801850            yes        10          1m25.06s
60          11.27   600         -827.746444      -206.9366110000            yes        10          1m23.47s
60          11.26   600         -827.74615586    -206.9365389650            yes        10          1m24.91s
60          11.24   600         -827.74554805    -206.9363870125            yes        10          1m26.29s
60          11.23   600         -827.74522754    -206.9363068850            yes        10          1m30.15s
60          11.22   600         -827.74489534    -206.9362238350            yes        10          1m31.88s
60          11.21   600         -827.74455187    -206.9361379675            yes        9           1m11.87s
60          11.19   600         -827.74383122    -206.9359578050            yes        10          1m24.14s
60          11.18   600         -827.74345346    -206.9358633650            yes        11          1m32.72s
60          11.17   600         -827.743064      -206.9357660000            yes        11          1m31.45s
60          11.16   600         -827.74266228    -206.9356655700            yes        11          1m38.15s
60          11.14   600         -827.74182363    -206.9354559075            yes        11          1m42.04s
60          11.13   600         -827.74138602    -206.9353465050            yes        11          1m41.65s
60          11.12   600         -827.74093633    -206.9352340825            yes        11          1m36.65s
60          11.11   600         -827.74047425    -206.9351185625            yes        11          1m34.42s
60          11.09   600         -827.73951268    -206.9348781700            yes        10          1m27.71s
60          11.08   600         -827.73901293    -206.9347532325            yes        10          1m28.57s
60          11.07   600         -827.73850044    -206.9346251100            yes        10          1m27.92s
60          11.06   600         -827.7379747     -206.9344936750            yes        10          1m29.67s
60          11.04   600         -827.73688487    -206.9342212175            yes        9           1m13.91s
60          11.03   600         -827.73632       -206.9340800000            yes        9           1m13.15s
60          11.02   600         -827.73574208    -206.9339355200            yes        9           1m15.13s
60          11.01   600         -827.73515068    -206.9337876700            yes        9           1m13.77s
60          10.99   600         -827.73392722    -206.9334818050            yes        9           1m11.77s
60          10.98   600         -827.73329473    -206.9333236825            yes        9           1m12.87s
60          10.97   600         -827.73264842    -206.9331621050            yes        9           1m12.47s
60          10.96   600         -827.73198811    -206.9329970275            yes        9           1m11.89s
