 &plot nbnd=  50, nks=   121 /
            0.000000  0.000000  0.000000
  -13.759  -13.748  -13.746  -13.742  -13.740  -13.738  -13.734  -13.733  -13.726  -13.723
  -13.722  -13.722  -13.712  -13.708  -13.692  -13.688  -13.684  -13.682  -13.675  -13.668
   -6.033   -5.699   -5.073   -4.616    0.412    1.468    1.973    2.589    2.924    4.342
    4.418    4.425    4.697    4.908    5.443    5.792    6.105    6.556    6.849    7.146
    8.372   10.251   10.514   10.521   10.692   10.958   11.475   12.027   12.123   12.315
            0.016667  0.000000  0.000000
  -13.759  -13.748  -13.746  -13.742  -13.740  -13.738  -13.734  -13.733  -13.726  -13.723
  -13.722  -13.722  -13.712  -13.708  -13.692  -13.688  -13.684  -13.682  -13.675  -13.668
   -6.032   -5.699   -5.073   -4.616    0.413    1.465    1.976    2.589    2.924    4.340
    4.419    4.426    4.698    4.908    5.444    5.791    6.105    6.552    6.850    7.146
    8.377   10.250   10.515   10.519   10.695   10.959   11.476   12.017   12.134   12.316
            0.033333  0.000000  0.000000
  -13.759  -13.748  -13.746  -13.742  -13.740  -13.738  -13.734  -13.733  -13.726  -13.723
  -13.722  -13.722  -13.712  -13.708  -13.692  -13.688  -13.684  -13.682  -13.675  -13.668
   -6.032   -5.701   -5.071   -4.617    0.414    1.457    1.984    2.589    2.927    4.336
    4.419    4.427    4.702    4.905    5.446    5.790    6.104    6.541    6.851    7.146
    8.390   10.247   10.511   10.518   10.703   10.960   11.476   11.994   12.157   12.318
            0.050000  0.000000  0.000000
  -13.759  -13.748  -13.746  -13.742  -13.740  -13.738  -13.734  -13.733  -13.726  -13.723
  -13.722  -13.722  -13.712  -13.708  -13.692  -13.688  -13.684  -13.682  -13.675  -13.668
   -6.031   -5.702   -5.069   -4.618    0.415    1.444    1.996    2.588    2.930    4.328
    4.420    4.430    4.708    4.902    5.450    5.787    6.102    6.523    6.852    7.146
    8.412   10.242   10.499   10.522   10.715   10.961   11.478   11.966   12.186   12.320
            0.066667  0.000000  0.000000
  -13.759  -13.748  -13.746  -13.742  -13.740  -13.738  -13.734  -13.733  -13.726  -13.723
  -13.722  -13.722  -13.712  -13.708  -13.692  -13.688  -13.684  -13.682  -13.675  -13.668
   -6.030   -5.705   -5.066   -4.620    0.418    1.427    2.013    2.587    2.935    4.317
    4.422    4.434    4.716    4.897    5.456    5.783    6.100    6.499    6.855    7.145
    8.441   10.236   10.485   10.528   10.730   10.964   11.479   11.936   12.217   12.325
            0.083333  0.000000  0.000000
  -13.759  -13.748  -13.746  -13.742  -13.740  -13.738  -13.734  -13.733  -13.726  -13.723
  -13.722  -13.722  -13.712  -13.708  -13.692  -13.688  -13.684  -13.682  -13.675  -13.668
   -6.029   -5.709   -5.061   -4.622    0.421    1.406    2.032    2.586    2.941    4.304
    4.424    4.439    4.726    4.891    5.463    5.779    6.097    6.469    6.858    7.145
    8.478   10.229   10.469   10.534   10.747   10.967   11.482   11.906   12.248   12.330
            0.100000  0.000000  0.000000
  -13.759  -13.748  -13.746  -13.742  -13.740  -13.738  -13.734  -13.733  -13.726  -13.723
  -13.722  -13.722  -13.712  -13.708  -13.692  -13.688  -13.684  -13.682  -13.675  -13.668
   -6.027   -5.713   -5.056   -4.624    0.425    1.383    2.054    2.585    2.949    4.288
    4.426    4.445    4.737    4.883    5.472    5.773    6.093    6.434    6.862    7.144
    8.521   10.221   10.452   10.541   10.766   10.970   11.485   11.875   12.281   12.336
            0.116667  0.000000  0.000000
  -13.759  -13.748  -13.745  -13.742  -13.740  -13.738  -13.734  -13.733  -13.726  -13.723
  -13.722  -13.722  -13.712  -13.708  -13.692  -13.688  -13.684  -13.682  -13.674  -13.668
   -6.025   -5.717   -5.051   -4.628    0.430    1.358    2.078    2.583    2.959    4.271
    4.429    4.453    4.749    4.875    5.481    5.766    6.089    6.395    6.866    7.144
    8.570   10.212   10.435   10.548   10.785   10.975   11.488   11.845   12.313   12.343
            0.133333  0.000000  0.000000
  -13.759  -13.749  -13.745  -13.742  -13.740  -13.738  -13.734  -13.733  -13.726  -13.723
  -13.722  -13.722  -13.712  -13.708  -13.692  -13.688  -13.684  -13.682  -13.674  -13.668
   -6.023   -5.723   -5.044   -4.631    0.435    1.331    2.102    2.581    2.970    4.252
    4.432    4.461    4.762    4.866    5.492    5.759    6.084    6.352    6.871    7.143
    8.625   10.202   10.417   10.554   10.805   10.980   11.493   11.814   12.346   12.351
            0.150000  0.000000  0.000000
  -13.759  -13.749  -13.745  -13.742  -13.740  -13.738  -13.734  -13.733  -13.726  -13.723
  -13.722  -13.722  -13.712  -13.708  -13.692  -13.688  -13.684  -13.682  -13.674  -13.668
   -6.020   -5.728   -5.037   -4.635    0.441    1.303    2.127    2.580    2.983    4.231
    4.435    4.471    4.776    4.856    5.504    5.751    6.079    6.307    6.876    7.142
    8.683   10.193   10.399   10.560   10.826   10.985   11.498   11.784   12.360   12.379
            0.166667  0.000000  0.000000
  -13.758  -13.749  -13.745  -13.742  -13.740  -13.738  -13.734  -13.733  -13.726  -13.723
  -13.722  -13.722  -13.712  -13.708  -13.691  -13.688  -13.684  -13.682  -13.674  -13.668
   -6.017   -5.735   -5.029   -4.640    0.448    1.274    2.153    2.577    2.997    4.209
    4.439    4.481    4.790    4.845    5.517    5.741    6.073    6.259    6.882    7.141
    8.745   10.183   10.381   10.565   10.847   10.991   11.504   11.754   12.370   12.412
            0.183333  0.000000  0.000000
  -13.758  -13.749  -13.745  -13.742  -13.740  -13.738  -13.734  -13.733  -13.726  -13.723
  -13.722  -13.722  -13.712  -13.708  -13.691  -13.688  -13.684  -13.682  -13.674  -13.669
   -6.014   -5.741   -5.021   -4.645    0.456    1.245    2.178    2.575    3.013    4.186
    4.444    4.493    4.804    4.834    5.530    5.732    6.066    6.210    6.889    7.139
    8.811   10.174   10.363   10.569   10.868   10.998   11.511   11.725   12.380   12.445
            0.200000  0.000000  0.000000
  -13.758  -13.750  -13.745  -13.742  -13.740  -13.738  -13.734  -13.733  -13.726  -13.723
  -13.722  -13.722  -13.712  -13.708  -13.691  -13.688  -13.684  -13.682  -13.674  -13.669
   -6.010   -5.749   -5.012   -4.650    0.464    1.216    2.202    2.572    3.031    4.162
    4.448    4.506    4.818    4.822    5.545    5.721    6.058    6.160    6.895    7.138
    8.879   10.165   10.345   10.571   10.890   11.006   11.518   11.695   12.391   12.477
            0.216667  0.000000  0.000000
  -13.758  -13.750  -13.745  -13.742  -13.740  -13.738  -13.734  -13.733  -13.726  -13.723
  -13.722  -13.722  -13.711  -13.709  -13.691  -13.688  -13.684  -13.682  -13.674  -13.669
   -6.006   -5.756   -5.002   -4.656    0.473    1.186    2.226    2.569    3.051    4.136
    4.453    4.520    4.810    4.832    5.559    5.710    6.051    6.109    6.903    7.136
    8.949   10.156   10.328   10.572   10.912   11.014   11.526   11.667   12.401   12.510
            0.233333  0.000000  0.000000
  -13.758  -13.750  -13.745  -13.742  -13.740  -13.738  -13.734  -13.733  -13.726  -13.723
  -13.722  -13.722  -13.711  -13.709  -13.691  -13.688  -13.684  -13.682  -13.674  -13.669
   -6.002   -5.764   -4.992   -4.662    0.483    1.156    2.250    2.566    3.072    4.110
    4.459    4.535    4.798    4.846    5.575    5.698    6.042    6.059    6.910    7.134
    9.021   10.148   10.311   10.570   10.934   11.023   11.534   11.638   12.412   12.542
            0.250000  0.000000  0.000000
  -13.758  -13.750  -13.745  -13.742  -13.740  -13.738  -13.734  -13.733  -13.726  -13.723
  -13.722  -13.722  -13.711  -13.709  -13.691  -13.688  -13.684  -13.682  -13.674  -13.669
   -5.998   -5.772   -4.982   -4.669    0.493    1.127    2.272    2.563    3.095    4.083
    4.465    4.551    4.785    4.860    5.590    5.686    6.008    6.033    6.918    7.131
    9.094   10.141   10.295   10.566   10.957   11.033   11.542   11.610   12.422   12.544
            0.266667  0.000000  0.000000
  -13.758  -13.751  -13.745  -13.742  -13.740  -13.738  -13.734  -13.733  -13.726  -13.723
