# ecutwfc_Ry  ecutrho_Ry  total_energy_Ry  total_energy_per_formula_unit_Ry_f.u.  HOMO_eV  LUMO_eV  GAP_eV  converged  iterations  wall_time
20  200  -827.49295531  -206.8732388275  8.0343  8.8575  0.823200000000000  yes  9  1m57.23s
25  250  -827.73068100  -206.93267025  8.0317  8.8508  0.819100000000000  yes  9  2m37.81s
30  300  -827.73556984  -206.93389246  8.0314  8.8501  0.8186999999999998  yes  9  4m 2.42s
40  400  -827.73985454  -206.934963635  8.0308  8.8496  0.8188000000000013  yes  9  5m14.07s
50  500  -827.74300014  -206.935750035  8.0307  8.8497  0.8190000000000008  yes  9  6m15.70s
60  600  -827.74544839  -206.9363620975  8.0306  8.8495  0.8189000000000011  yes  9  9m20.15s
70  700  -827.74617541  -206.9365438525  8.0305  8.8494  0.8189000000000000  yes  9  10m17.89s
80  800  -827.74768346  -206.936920865  8.0304  8.8494  0.8190000000000000  yes  9  24m55.94s
